"Timestamp"," Do you use any digital services(e.g., online banking, e-commerce)?","Gender","Age","Educational Qualification","Occupation","Monthly Income","Residence","How frequently do you use digital services?","How many years have you been using digital services?","Which of the following is the strongest password?","You receive an email asking you to click a link and urgently confirm your bank account details. What is the safest action?","Which of the following is a common indicator of a phishing message?","What is the primary purpose of two-factor authentication (2FA)?","Which website address generally indicates that the connection is encrypted?","What is the most appropriate action when a legitimate security update is available for your device or application?","If a message requests your bank PIN, password, or OTP, what should you do?","What is the safest approach when using an unsecured public Wi-Fi network?","What should you do if you suspect that your online account has been compromised?","Which statement about software security updates is correct?","Digital service providers adequately protect my personal information.","I believe my financial information is securely stored.","Privacy policies of digital platforms are clear and understandable.","I have control over how my personal information is used.","Digital platforms collect only the information necessary for providing services.","I am confident that my personal data will not be shared without my consent.","I feel safe when sharing personal information through digital services.","Digital services are available whenever I need them.","Digital platforms perform transactions accurately.","I rarely experience technical failures while using digital services.","Digital services recover quickly after technical problems.","Digital platforms provide consistent service quality.","I believe digital systems are dependable.","Digital services maintain secure and uninterrupted operations.","I trust digital service providers to handle my personal information responsibly.","I feel confident when using digital services for financial transactions.","I believe digital service providers take adequate measures to protect users from cybersecurity threats.","I am concerned that digital service providers may not adequately protect my personal information.","I believe digital service providers are reliable in delivering online services.","I would hesitate to use a digital service if I were uncertain about its security. ","I believe digital service providers act in the best interests of their users.","I consider digital services generally trustworthy.","I am willing to continue using digital services that provide adequate security and privacy protection.","I would recommend a digital service that I consider secure and reliable to others."
"2026/08/20 11:40:13 AM GMT+1","Yes","Male","21–30","Postgraduate","Business","£2001 - £2500","Semi-Urban","Monthly","More than 6 years","T7#mQ9!vL2@p","Avoid the link and contact the bank through its official channel","A message containing your name","To provide an additional layer of identity verification","https://example.com","Disable security notifications","Do not provide the information and verify through an official channel","Avoid sensitive transactions on the unsecured network","Change the password and follow the provider's security procedures","They can help fix security vulnerabilities","Strongly disagree","Strongly Disagree","Strongly disagree","Strongly Disagree","Strongly disagree","Strongly disagree","Strongly disagree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral"
"2026/08/20 11:40:33 AM GMT+1","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026/08/20 11:42:59 AM GMT+1","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026/08/20 11:44:13 AM GMT+1","Yes","Male","21–30","Undergraduate","Others","Below £1000","Rural","Daily","1–3 years","12345678","Avoid the link and contact the bank through its official channel","An urgent request for personal or financial information","To provide an additional layer of identity verification","https://example.com","Install the security update when appropriate","Provide the information if the message appears urgent","Conduct sensitive financial transactions normally","Continue using the account normally","They should always be disabled","Strongly disagree","Strongly Disagree","Strongly disagree","Neutral","Strongly agree","Disagree","Neutral","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Agree","Disagree","Neutral","Neutral","Disagree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Neutral","Agree","Strongly Agree"
"2026/08/20 11:45:10 AM GMT+1","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026/08/20 11:45:20 AM GMT+1","Yes","Male","21–30","Undergraduate","Private Employee","Below £1000","Semi-Urban","Daily","Less than 1 year","12345678","Click the link and verify the account","An urgent request for personal or financial information","To provide an additional layer of identity verification","http://example.com","Install the security update when appropriate","Do not provide the information and verify through an official channel","Conduct sensitive financial transactions normally","Continue using the account normally","They are generally unnecessary","Strongly agree","Neutral","Disagree","Agree","Agree","Agree","Disagree","Disagree","Agree","Strongly Agree","Agree","Neutral","Neutral","Strongly Disagree","Disagree","Neutral","Strongly Agree","Neutral","Neutral","Disagree","Neutral","Strongly Disagree","Disagree","Disagree"
"2026/08/20 11:49:16 AM GMT+1","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026/08/20 11:49:47 AM GMT+1","Yes","Male","21–30","Postgraduate","Student","Below £1000","Urban","Weekly","More than 6 years","T7#mQ9!vL2@p","Avoid the link and contact the bank through its official channel","An urgent request for personal or financial information","To provide an additional layer of identity verification","An unfamiliar shortened URL","Install the security update when appropriate","Do not provide the information and verify through an official channel","Avoid sensitive transactions on the unsecured network","Change the password and follow the provider's security procedures","They can help fix security vulnerabilities","Agree","Agree","Agree","Neutral","Neutral","Agree","Neutral","Strongly Agree","Agree","Agree","Agree","Agree","Neutral","Agree","Agree","Agree","Agree","Agree","Neutral","Neutral","Neutral","Agree","Neutral","Neutral"
"2026/08/20 11:49:48 AM GMT+1","Yes","Male","21–30","Others","Self-employed","Below £1000","Rural","Daily","Less than 1 year","12345678","Avoid the link and contact the bank through its official channel","An urgent request for personal or financial information","To provide an additional layer of identity verification","http://example.com","Install the security update when appropriate","Do not provide the information and verify through an official channel","Avoid sensitive transactions on the unsecured network","Change the password and follow the provider's security procedures","They can help fix security vulnerabilities","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
"2026/08/20 11:50:07 AM GMT+1","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026/08/20 11:52:50 AM GMT+1","Yes","Male","Below 20","Higher Secondary","Student","Below £1000","Urban","Daily","Less than 1 year","12345678","Avoid the link and contact the bank through its official channel","An urgent request for personal or financial information","To provide an additional layer of identity verification","http://example.com","Install the security update when appropriate","Do not provide the information and verify through an official channel","Avoid sensitive transactions on the unsecured network","Change the password and follow the provider's security procedures","They can help fix security vulnerabilities","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
"2026/08/20 11:54:36 AM GMT+1","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026/08/20 11:55:02 AM GMT+1","Yes","Male","Below 20","Higher Secondary","Government Employee","Below £1000","Urban","Daily","Less than 1 year","12345678","Avoid the link and contact the bank through its official channel","An urgent request for personal or financial information","To provide an additional layer of identity verification","http://example.com","Install the security update when appropriate","Do not provide the information and verify through an official channel","Avoid sensitive transactions on the unsecured network","Change the password and follow the provider's security procedures","They can help fix security vulnerabilities","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Neutral","Strongly disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Neutral"
"2026/08/20 11:57:07 AM GMT+1","Yes","Male","31-40","Higher Secondary","Student","Below £1000","Semi-Urban","Daily","4–6 years","12345678","Avoid the link and contact the bank through its official channel","An urgent request for personal or financial information","To provide an additional layer of identity verification","http://example.com","Install the security update when appropriate","Provide only the OTP","Avoid sensitive transactions on the unsecured network","Change the password and follow the provider's security procedures","They can help fix security vulnerabilities","Strongly agree","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Neutral","Agree","Strongly Agree","Strongly Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Neutral","Agree","Agree","Agree","Agree","Agree"
"2026/08/20 11:57:59 AM GMT+1","Yes","Male","21–30","Postgraduate","Student","Below £1000","Urban","Daily","More than 6 years","T7#mQ9!vL2@p","Click the link and verify the account","A message containing your name","To provide an additional layer of identity verification","http://example.com","Install the security update when appropriate","Provide only the OTP","Avoid sensitive transactions on the unsecured network","Change the password and follow the provider's security procedures","They can help fix security vulnerabilities","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
"2026/08/20 11:58:51 AM GMT+1","Yes","Male","21–30","Postgraduate","Private Employee","£1001 - £1500","Urban","Daily","Less than 1 year","12345678","Avoid the link and contact the bank through its official channel","An urgent request for personal or financial information","To automatically change passwords","https://example.com","Ignore it permanently","Provide only the OTP","Avoid sensitive transactions on the unsecured network","Change the password and follow the provider's security procedures","They can help fix security vulnerabilities","Strongly agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral"
"2026/08/20 12:01:17 PM GMT+1","Yes","Male","21–30","Undergraduate","Student","£1501 - £2000","Urban","Weekly","1–3 years","T7#mQ9!vL2@p","Click the link and verify the account","A routine service notification","To automatically change passwords","example-free-login.com","Disable security notifications","Provide the information if the message appears urgent","Conduct sensitive financial transactions normally","Ignore the incident","They always reduce device security","Strongly agree","Strongly agree","Neutral","Strongly agree","Strongly disagree","Disagree","Strongly Agree","Strongly Disagree","Neutral","Neutral","Strongly Disagree","Disagree","Disagree","Neutral","Strongly Agree","Strongly Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Agree","Disagree","Disagree"
"2026/08/20 12:01:31 PM GMT+1","Yes","Male","21–30","Diploma","Private Employee","Below £1000","Semi-Urban","Weekly","1–3 years","password123","Reply to the email for confirmation","A routine service notification","To increase internet speed","http://example.com","Ignore it permanently","Provide only the OTP","Disable device security features","Ignore the incident","They are generally unnecessary","Agree","Agree","Strongly agree","Strongly Disagree","Neutral","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree"
"2026/08/20 12:01:36 PM GMT+1","Yes","Male","21–30","Diploma","Student","Below £1000","Urban","Daily","Less than 1 year","12345678","Avoid the link and contact the bank through its official channel","An urgent request for personal or financial information","To provide an additional layer of identity verification","http://example.com","Install the security update when appropriate","Do not provide the information and verify through an official channel","Avoid sensitive transactions on the unsecured network","Change the password and follow the provider's security procedures","They can help fix security vulnerabilities","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree"
"2026/08/20 12:03:00 PM GMT+1","Yes","Male","21–30","Undergraduate","Private Employee","Below £1000","Semi-Urban","Occasionally","4–6 years","T7#mQ9!vL2@p","Avoid the link and contact the bank through its official channel","An urgent request for personal or financial information","To provide an additional layer of identity verification","An unfamiliar shortened URL","Install the security update when appropriate","Do not provide the information and verify through an official channel","Avoid sensitive transactions on the unsecured network","Change the password and follow the provider's security procedures","They can help fix security vulnerabilities","Agree","Disagree","Disagree","Neutral","Neutral","Neutral","Neutral","Agree","Agree","Disagree","Disagree","Neutral","Disagree","Neutral","Disagree","Disagree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral"
"2026/08/20 12:03:45 PM GMT+1","Yes","Male","21–30","Undergraduate","Private Employee","Below £1000","Rural","Occasionally","1–3 years","T7#mQ9!vL2@p","Avoid the link and contact the bank through its official channel","A routine service notification","To prevent all types of cyberattacks","An unfamiliar shortened URL","Ignore it permanently","Do not provide the information and verify through an official channel","Disable device security features","Change the password and follow the provider's security procedures","They always reduce device security","Agree","Neutral","Agree","Disagree","Agree","Neutral","Neutral","Neutral","Neutral","Agree","Agree","Neutral","Disagree","Neutral","Agree","Disagree","Neutral","Neutral","Agree","Neutral","Agree","Neutral","Agree","Neutral"
"2026/08/20 12:03:51 PM GMT+1","Yes","Male","21–30","Higher Secondary","Business","Above £2500","Rural","Monthly","Less than 1 year","T7#mQ9!vL2@p","Avoid the link and contact the bank through its official channel","A message containing your name","To automatically change passwords","https://example.com","Ignore it permanently","Provide only the OTP","Avoid sensitive transactions on the unsecured network","Ignore the incident","They can help fix security vulnerabilities","Agree","Neutral","Agree","Neutral","Agree","Neutral","Neutral","Disagree","Agree","Strongly Disagree","Agree","Agree","Neutral","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree"
"2026/08/20 12:05:43 PM GMT+1","Yes","Male","21–30","Diploma","Student","£1001 - £1500","Urban","Weekly","4–6 years","12345678","Avoid the link and contact the bank through its official channel","An urgent request for personal or financial information","To provide an additional layer of identity verification","An unfamiliar shortened URL","Install the security update when appropriate","Do not provide the information and verify through an official channel","Avoid sensitive transactions on the unsecured network","Change the password and follow the provider's security procedures","They can help fix security vulnerabilities","Strongly agree","Strongly agree","Neutral","Strongly agree","Strongly disagree","Disagree","Disagree","Strongly Agree","Disagree","Strongly Disagree","Strongly Disagree","Agree","Strongly Agree","Disagree","Strongly Disagree","Disagree","Neutral","Strongly Disagree","Strongly Agree","Disagree","Strongly Disagree","Disagree","Disagree","Agree"
"2026/08/20 12:05:48 PM GMT+1","Yes","Female","Below 20","Undergraduate","Student","£2001 - £2500","Semi-Urban","Daily","Less than 1 year","password123","Avoid the link and contact the bank through its official channel","A routine service notification","To automatically change passwords","An unfamiliar shortened URL","Install the security update when appropriate","Do not provide the information and verify through an official channel","Avoid sensitive transactions on the unsecured network","Change the password and follow the provider's security procedures","They can help fix security vulnerabilities","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Neutral","Agree","Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
"2026/08/20 12:06:57 PM GMT+1","Yes","Female","21–30","Undergraduate","Self-employed","Below £1000","Urban","Daily","More than 6 years","Name@123","Avoid the link and contact the bank through its official channel","An urgent request for personal or financial information","To provide an additional layer of identity verification","https://example.com","Install the security update when appropriate","Do not provide the information and verify through an official channel","Avoid sensitive transactions on the unsecured network","Change the password and follow the provider's security procedures","They can help fix security vulnerabilities","Neutral","Neutral","Agree","Strongly Disagree","Disagree","Neutral","Strongly disagree","Neutral","Neutral","Agree","Disagree","Disagree","Agree","Agree","Disagree","Agree","Neutral","Strongly Agree","Agree","Agree","Neutral","Disagree","Neutral","Agree"
"2026/08/20 12:08:25 PM GMT+1","Yes","Female","21–30","Postgraduate","Student","Below £1000","Semi-Urban","Monthly","1–3 years","T7#mQ9!vL2@p","Click the link and verify the account","A routine service notification","To increase internet speed","example-free-login.com","Install the security update when appropriate","Provide the information if the message appears urgent","Disable device security features","Ignore the incident","They always reduce device security","Agree","Agree","Disagree","Neutral","Disagree","Neutral","Disagree","Disagree","Neutral","Neutral","Neutral","Agree","Neutral","Neutral","Neutral","Neutral","Strongly Disagree","Disagree","Neutral","Agree","Strongly Disagree","Neutral","Disagree","Strongly Disagree"
"2026/08/20 12:08:30 PM GMT+1","Yes","Male","21–30","Postgraduate","Self-employed","£1501 - £2000","Semi-Urban","Monthly","4–6 years","T7#mQ9!vL2@p","Reply to the email for confirmation","A routine service notification","To automatically change passwords","example-free-login.com","Disable security notifications","Provide the information if the message appears urgent","Disable device security features","Continue using the account normally","They always reduce device security","Disagree","Agree","Neutral","Strongly agree","Neutral","Agree","Disagree","Disagree","Strongly Agree","Neutral","Strongly Agree","Agree","Disagree","Neutral","Neutral","Disagree","Agree","Neutral","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree"
"2026/08/20 12:09:30 PM GMT+1","Yes","Male","21–30","Undergraduate","Student","Below £1000","Urban","Daily","4–6 years","Name@123","Avoid the link and contact the bank through its official channel","An urgent request for personal or financial information","To prevent all types of cyberattacks","http://example.com","Disable security notifications","Provide only the OTP","Avoid sensitive transactions on the unsecured network","Ignore the incident","They can help fix security vulnerabilities","Agree","Agree","Agree","Neutral","Agree","Neutral","Neutral","Neutral","Agree","Agree","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree"
